[Sat Jan 14 22:22:59 CST 2017] Saved all players, restarting...
[Sat Jan 14 22:30:03 CST 2017] Saved all players, restarting...
[Sat Jan 14 22:30:26 CST 2017] Saved all players, restarting...
[Sat Jan 14 22:31:32 CST 2017] Saved all players, restarting...
[Sat Jan 14 22:33:16 CST 2017] Saved all players, restarting...
[Sat Jan 14 22:34:34 CST 2017] Saved all players, restarting...
[Sat Jan 14 22:34:47 CST 2017] Saved all players, restarting...
[Sat Jan 14 22:35:46 CST 2017] Saved all players, restarting...
[Sat Jan 14 22:36:16 CST 2017] Saved all players, restarting...
[Sat Jan 14 22:36:43 CST 2017] Saved all players, restarting...
[Mon Jan 16 01:05:58 CST 2017] Saved all players, restarting...
[Mon Jan 16 01:06:39 CST 2017] Saved all players, restarting...
[Mon Jan 16 01:10:10 CST 2017] Saved all players, restarting...
[Mon Jan 16 01:11:15 CST 2017] Saved all players, restarting...
[Mon Jan 16 01:12:48 CST 2017] Saved all players, restarting...
[Mon Jan 16 01:13:33 CST 2017] Saved all players, restarting...
[Mon Jan 16 01:14:26 CST 2017] Saved all players, restarting...
[Mon Jan 16 04:01:41 CST 2017] Saved all players, restarting...
[Mon Jan 16 06:39:40 CST 2017] Saved all players, restarting...
[Mon Jan 16 20:47:01 CST 2017] Saved all players, restarting...
[Mon Jan 16 20:48:51 CST 2017] Saved all players, restarting...
[Mon Jan 16 20:49:32 CST 2017] Saved all players, restarting...
[Mon Jan 16 20:50:37 CST 2017] Saved all players, restarting...
[Mon Jan 16 20:50:55 CST 2017] Saved all players, restarting...
[Mon Jan 16 20:51:52 CST 2017] Saved all players, restarting...
[Mon Jan 16 20:52:09 CST 2017] Saved all players, restarting...
[Mon Jan 16 20:52:37 CST 2017] Saved all players, restarting...
[Mon Jan 16 20:52:53 CST 2017] Saved all players, restarting...
[Mon Jan 16 21:08:40 CST 2017] Saved all players, restarting...
[Mon Jan 16 21:55:13 CST 2017] Saved all players, restarting...
[Mon Jan 16 23:08:49 CST 2017] Saved all players, restarting...
[Thu Jan 19 06:13:24 CST 2017] Saved all players, restarting...
[Fri Jan 20 14:33:18 CST 2017] Saved all players, restarting...
[Sat Jan 21 03:13:26 CST 2017] Saved all players, restarting...
[Sat Jan 21 03:15:08 CST 2017] Saved all players, restarting...
[Sat Jan 21 03:16:52 CST 2017] Saved all players, restarting...
[Sat Jan 21 03:18:57 CST 2017] Saved all players, restarting...
[Sat Jan 21 03:30:56 CST 2017] Saved all players, restarting...
[Sat Jan 21 03:32:15 CST 2017] Saved all players, restarting...
[Sat Jan 21 03:33:16 CST 2017] Saved all players, restarting...
[Sat Jan 21 03:34:16 CST 2017] Saved all players, restarting...
[Sat Jan 21 03:35:34 CST 2017] Saved all players, restarting...
[Sat Jan 21 03:36:20 CST 2017] Saved all players, restarting...
[Sat Jan 21 04:57:29 CST 2017] Saved all players, restarting...
[Sat Jan 21 05:00:10 CST 2017] Saved all players, restarting...
[Sat Jan 21 05:00:55 CST 2017] Saved all players, restarting...
