[Fri Jan 06 05:35:40 CST 2017] Saved all players, shut down complete.
[Fri Jan 06 05:36:35 CST 2017] Saved all players, shut down complete.
[Fri Jan 06 05:39:55 CST 2017] Saved all players, shut down complete.
[Fri Jan 06 05:48:16 CST 2017] Saved all players, shut down complete.
[Fri Jan 06 05:48:36 CST 2017] Saved all players, shut down complete.
[Fri Jan 06 05:48:59 CST 2017] Saved all players, shut down complete.
[Fri Jan 06 05:57:18 CST 2017] Saved all players, shut down complete.
[Fri Jan 06 05:57:31 CST 2017] Saved all players, shut down complete.
[Fri Jan 06 06:08:01 CST 2017] Saved all players, shut down complete.
[Fri Jan 06 07:01:40 CST 2017] Saved all players, shut down complete.
[Sat Jan 07 01:55:51 CST 2017] Saved all players, shut down complete.
[Sat Jan 07 01:59:17 CST 2017] Saved all players, shut down complete.
[Sat Jan 07 02:41:51 CST 2017] Saved all players, shut down complete.
[Sat Jan 07 02:43:03 CST 2017] Saved all players, shut down complete.
[Sat Jan 07 04:01:31 CST 2017] Saved all players, shut down complete.
[Sat Jan 07 04:04:28 CST 2017] Saved all players, shut down complete.
[Sat Jan 07 04:09:12 CST 2017] Saved all players, shut down complete.
[Sat Jan 07 04:39:17 CST 2017] Saved all players, shut down complete.
[Sat Jan 07 20:37:05 CST 2017] Saved all players, shut down complete.
[Sun Jan 08 14:33:10 CST 2017] Saved all players, shut down complete.
[Sun Jan 08 14:37:50 CST 2017] Saved all players, shut down complete.
[Sun Jan 08 18:20:09 CST 2017] Saved all players, shut down complete.
[Sun Jan 08 18:20:53 CST 2017] Saved all players, shut down complete.
[Sun Jan 08 18:21:31 CST 2017] Saved all players, shut down complete.
[Sun Jan 08 18:22:12 CST 2017] Saved all players, shut down complete.
[Sun Jan 08 18:23:28 CST 2017] Saved all players, shut down complete.
[Sun Jan 08 18:25:18 CST 2017] Saved all players, shut down complete.
[Sun Jan 08 18:28:07 CST 2017] Saved all players, shut down complete.
[Sun Jan 08 18:34:42 CST 2017] Saved all players, shut down complete.
[Sun Jan 08 18:57:00 CST 2017] Saved all players, shut down complete.
[Sun Jan 08 18:58:41 CST 2017] Saved all players, shut down complete.
[Sun Jan 08 19:19:52 CST 2017] Saved all players, shut down complete.
[Sun Jan 08 19:43:57 CST 2017] Saved all players, shut down complete.
[Sun Jan 08 20:15:15 CST 2017] Saved all players, shut down complete.
[Sun Jan 08 20:41:51 CST 2017] Saved all players, shut down complete.
[Sun Jan 08 21:05:59 CST 2017] Saved all players, shut down complete.
[Sun Jan 08 21:09:36 CST 2017] Saved all players, shut down complete.
[Mon Jan 09 06:03:51 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 18:30:53 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 21:15:23 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 21:16:12 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 21:16:34 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 21:17:40 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 21:18:19 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 21:19:04 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 21:20:41 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 21:23:43 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 21:24:10 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 21:29:23 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 21:30:36 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 21:33:16 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 21:33:39 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 21:34:04 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 21:35:49 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 21:36:00 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 21:37:17 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 21:38:35 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 21:38:51 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 21:39:59 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 21:42:02 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 21:43:05 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 21:44:55 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 22:02:03 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 22:02:27 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 22:03:09 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 22:09:08 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 22:12:33 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 22:13:36 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 22:13:45 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 22:23:18 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 22:30:37 CST 2017] Saved all players, shut down complete.
[Sat Jan 14 22:36:57 CST 2017] Saved all players, shut down complete.
[Mon Jan 16 04:16:46 CST 2017] Saved all players, shut down complete.
[Mon Jan 16 06:33:56 CST 2017] Saved all players, shut down complete.
[Mon Jan 16 20:53:08 CST 2017] Saved all players, shut down complete.
[Mon Jan 16 21:09:16 CST 2017] Saved all players, shut down complete.
[Mon Jan 16 22:19:10 CST 2017] Saved all players, shut down complete.
[Thu Jan 19 06:14:11 CST 2017] Saved all players, shut down complete.
[Fri Jan 20 06:05:50 CST 2017] Saved all players, shut down complete.
[Fri Jan 20 06:19:51 CST 2017] Saved all players, shut down complete.
[Fri Jan 20 14:14:36 CST 2017] Saved all players, shut down complete.
[Fri Jan 20 14:40:18 CST 2017] Saved all players, shut down complete.
[Fri Jan 20 15:29:28 CST 2017] Saved all players, shut down complete.
[Fri Jan 20 16:10:39 CST 2017] Saved all players, shut down complete.
[Sat Jan 21 02:24:48 CST 2017] Saved all players, shut down complete.
[Sat Jan 21 03:05:22 CST 2017] Saved all players, shut down complete.
[Sat Jan 21 03:17:29 CST 2017] Saved all players, shut down complete.
[Sat Jan 21 03:19:16 CST 2017] Saved all players, shut down complete.
[Sat Jan 21 03:43:14 CST 2017] Saved all players, shut down complete.
[Sat Jan 21 03:47:41 CST 2017] Saved all players, shut down complete.
[Sat Jan 21 04:27:34 CST 2017] Saved all players, shut down complete.
[Sat Jan 21 04:57:59 CST 2017] Saved all players, shut down complete.
[Sat Jan 21 05:13:51 CST 2017] Saved all players, shut down complete.
[Sat Jan 21 05:15:45 CST 2017] Saved all players, shut down complete.
[Sat Jan 21 05:18:10 CST 2017] Saved all players, shut down complete.
[Sat Jan 21 05:21:09 CST 2017] Saved all players, shut down complete.
[Sat Jan 21 05:33:37 CST 2017] Saved all players, shut down complete.
[Sat Jan 21 05:37:48 CST 2017] Saved all players, shut down complete.
[Sat Jan 21 05:38:49 CST 2017] Saved all players, shut down complete.
[Sat Jan 21 06:05:45 CST 2017] Saved all players, shut down complete.
[Sat Jan 21 06:16:59 CST 2017] Saved all players, shut down complete.
[Sat Jan 21 06:38:12 CST 2017] Saved all players, shut down complete.
[Sat Jan 21 07:05:15 CST 2017] Saved all players, shut down complete.
[Sun Jan 22 04:01:49 CST 2017] Saved all players, shut down complete.
[Thu Jan 26 20:53:04 CST 2017] Saved all players, shut down complete.
[Sun Jan 29 02:30:57 CST 2017] Saved all players, shut down complete.
[Mon Feb 27 00:39:03 CST 2017] Saved all players, shut down complete.
[Wed Sep 27 21:19:32 CDT 2017] Saved all players, shut down complete.
[Thu Sep 28 03:29:21 CDT 2017] Saved all players, shut down complete.
[Thu Sep 28 03:47:29 CDT 2017] Saved all players, shut down complete.
[Sat Dec 09 14:21:55 CST 2017] Saved all players, shut down complete.
[Sat Dec 09 16:39:13 CST 2017] Saved all players, shut down complete.
[Mon Dec 11 13:51:34 CST 2017] Saved all players, shut down complete.
[Tue Dec 12 03:05:40 CST 2017] Saved all players, shut down complete.
[Tue Dec 12 03:19:55 CST 2017] Saved all players, shut down complete.
[Tue Dec 12 03:41:39 CST 2017] Saved all players, shut down complete.
[Tue Dec 12 04:30:16 CST 2017] Saved all players, shut down complete.
[Tue Dec 12 04:37:39 CST 2017] Saved all players, shut down complete.
[Tue Dec 12 04:55:26 CST 2017] Saved all players, shut down complete.
[Tue Dec 12 05:18:23 CST 2017] Saved all players, shut down complete.
[Tue Dec 12 13:11:59 CST 2017] Saved all players, shut down complete.
[Tue Dec 12 23:38:55 CST 2017] Saved all players, shut down complete.
[Tue Dec 12 23:47:59 CST 2017] Saved all players, shut down complete.
[Tue Dec 12 23:54:48 CST 2017] Saved all players, shut down complete.
[Wed Dec 13 02:02:24 CST 2017] Saved all players, shut down complete.
[Fri Dec 15 17:52:22 CST 2017] Saved all players, shut down complete.
[Mon Dec 18 01:21:52 CST 2017] Saved all players, shut down complete.
