[Tue Sep 19 00:58:49 CDT 2017, 184.4.56.116] tattoodles has disconnected.
[Tue Sep 19 01:03:27 CDT 2017, 184.4.56.116] tattoodles has disconnected.
[Tue Sep 19 01:03:32 CDT 2017, 184.4.56.116] tattoodles has disconnected.
[Tue Sep 19 01:16:44 CDT 2017, 184.4.56.116] tattoodles has disconnected.
[Tue Sep 19 01:26:33 CDT 2017, 184.4.56.116] tattoodles has disconnected.
[Tue Sep 19 19:34:39 CDT 2017, 184.4.56.116] tattoodles has disconnected.
[Tue Sep 19 19:43:41 CDT 2017, 184.4.56.116] tattoodles has disconnected.
[Tue Sep 19 19:45:15 CDT 2017, 184.4.56.116] tattoodles has disconnected.
[Tue Sep 19 20:13:25 CDT 2017, 184.4.56.116] tattoodles has disconnected.
[Tue Sep 19 20:15:56 CDT 2017, 184.4.56.116] tattoodles has disconnected.
[Tue Sep 19 21:50:49 CDT 2017, 184.4.56.116] tattoodles has disconnected.
[Tue Sep 19 21:52:27 CDT 2017, 184.4.56.116] tattoodles has disconnected.
[Tue Sep 19 22:07:01 CDT 2017, 184.4.56.116] tattoodles has disconnected.
[Tue Sep 19 22:09:36 CDT 2017, 184.4.56.116] tattoodles has disconnected.
