// Format: Object ID : X, Y, Z, Type, Rotation, Clipped

// All Cavern of Remembrance boss objects (Bosses)
64088 : 81, 219, 0, 11, -2, true
64089 : 79, 220, 0, 11, -2, true
64090 : 78, 222, 0, 10, -1, true
64091 : 78, 224, 0, 10, -1, true
64092 : 78, 226, 0, 10, -1, true
64093 : 79, 228, 0, 11, -1, true
64094 : 81, 229, 0, 10, 0, true
64095 : 83, 228, 0, 11, 0, true
64096 : 83, 220, 0, 11, 1, true
64097 : 81, 221, 0, 11, -2, true
64098 : 81, 223, 0, 10, -1, true
64099 : 81, 226, 0, 11, -1, true

// Start of cavern of remembrance barriers
64100 : 109, 193, 0, 10, 0, true
64100 : 109, 192, 0, 10, 0, true
64101 : 107, 192, 0, 10, 0, true
64101 : 107, 193, 0, 10, 0, true
64102 : 105, 192, 0, 10, 0, true
64102 : 105, 193, 0, 10, 0, true
64103 : 103, 192, 0, 10, 0, true
64103 : 103, 193, 0, 10, 0, true
64104 : 101, 194, 0, 10, 1, true
64104 : 100, 194, 0, 10, 1, true
64104 : 99, 194, 0, 10, 1, true
64105 : 99, 196, 0, 10, 1, true
64105 : 100, 196, 0, 10, 1, true
64105 : 101, 196, 0, 10, 1, true
64106 : 99, 199, 0, 10, 1, true
64106 : 100, 199, 0, 10, 1, true
64106 : 101, 199, 0, 10, 1, true
64106 : 102, 199, 0, 10, 1, true
64107 : 101, 204, 0, 10, 1, true
64107 : 100, 204, 0, 10, 1, true
64107 : 99, 204, 0, 10, 1, true
64108 : 98, 207, 0, 10, 1, true
64108 : 97, 207, 0, 10, 1, true
64108 : 96, 207, 0, 10, 1, true
64108 : 95, 207, 0, 10, 1, true
64109 : 97, 210, 0, 10, 1, true
64109 : 96, 210, 0, 10, 1, true
64109 : 95, 210, 0, 10, 1, true
64110 : 95, 212, 0, 10, 1, true
64110 : 94, 212, 0, 10, 1, true
64111 : 93, 215, 0, 10, 1, true
64111 : 94, 215, 0, 10, 1, true
64111 : 95, 215, 0, 10, 1, true
64111 : 96, 215, 0, 10, 1, true

