// Use: OutfitName - Hat, Cape, Amulet, Weapon, Chest, Shield, Legs, Gloves, Boots, Ring, Arrows, Aura
Merlyn - 22455, 22452, 15126, 22445, 4736, -1, 4738, 7462, 4125, 22450, 22449, -1
Owner Melee - 20135, 6570, 6585, 18349, 20139, 17273, 20143, 7462, 11732, 22450, -1, -1
Tribal - 22444, -1, 19886, 22442, 6351, -1, 22451, -1, 1061, 22450, -1, -1
Assassin Range - 22455, 22452, 15126, 22445, 4736, -1, 4738, 7462, 4125, 6733, 22449, -1
Assassin Melee - 22455, 22452, 15126, 22446, 4736, -1, 4738, 7462, 4125, 6737, 22449, -1
Assassin Mage - 22455, 22452, 15126, 22447, 4736, -1, 4738, 7462, 4125, 6731, 22449, -1
Primal Assassin - 22455, 22452, 10344, 22441, 17259, 15825, 16689, 7462, 21787, 22450, -1, -1
max range - 22455, 22452, 15126, 18357, 20153, 13742, 20157, 22361, 21790, 15019, 22458, -1
magma torva - 22508, 22469, -1, 22517, 22509, 22515, 22510, 7461, 11732, -1, -1, -1
frost torva - 22505, 22482, -1, 22513, 22506, -1, 22507, 22503, 22502, 22450, -1, -1
virtus assassin - 22455, 22452, 18335, 13867, 20165, 13738, 20169, 22366, 21793, 15018, -1, -1
skeleton - 22466, -1, -1, -1, 22463, -1, 22467, 22465, 22464, -1, -1, -1
demon - 22531, 22732, 22626, 22710, 22533, 22713, 22532, 22495, 22689, -1, -1, 22720
